age,education-num,capital-gain,capital-loss,hours-per-week,class
25,7,0,0,40, <=50K
38,9,0,0,50, <=50K
28,12,0,0,40, >50K
44,10,7688,0,40, >50K
18,10,0,0,30, <=50K
34,6,0,0,30, <=50K
29,9,0,0,40, <=50K
63,15,3103,0,32, >50K
24,10,0,0,40, <=50K
55,4,0,0,10, <=50K
65,9,6418,0,40, >50K
36,13,0,0,40, <=50K
26,9,0,0,39, <=50K
58,9,0,0,35, <=50K
48,9,3103,0,48, >50K
43,14,0,0,50, >50K
20,10,0,0,25, <=50K
43,9,0,0,30, <=50K
37,9,0,0,20, <=50K
40,16,0,0,45, >50K
34,13,0,0,47, >50K
34,10,0,0,35, <=50K
72,4,0,0,6, <=50K
25,13,0,0,43, <=50K
25,13,0,0,40, <=50K
45,9,7298,0,90, >50K
22,9,0,0,20, <=50K
23,9,0,0,54, <=50K
54,9,0,0,35, <=50K
32,10,0,0,60, <=50K
46,10,7688,0,38, >50K
56,7,0,0,50, <=50K
24,13,0,0,50, <=50K
23,10,0,0,40, <=50K
26,9,0,0,40, <=50K
65,9,0,0,40, <=50K
36,13,0,0,40, >50K
22,3,0,0,50, <=50K
17,6,0,0,40, <=50K
20,9,0,0,40, <=50K
65,14,0,0,50, >50K
44,11,0,0,45, >50K
36,9,0,0,40, <=50K
29,7,0,0,40, <=50K
20,10,0,0,32, <=50K
28,11,0,0,36, >50K
39,4,0,0,40, <=50K
54,10,3908,0,50, <=50K
52,7,0,0,18, <=50K
56,9,0,0,50, <=50K
18,10,0,0,20, <=50K
39,9,0,0,40, <=50K
21,10,0,1721,24, <=50K
22,9,14084,0,60, >50K
38,5,0,0,54, <=50K
21,10,0,0,40, <=50K
63,9,0,0,40, <=50K
34,13,3103,0,50, >50K
42,9,5178,0,50, >50K
33,9,0,0,40, <=50K
30,13,0,0,50, <=50K
39,10,0,0,40, <=50K
26,14,0,0,40, <=50K
33,9,0,0,40, <=50K
47,9,0,0,40, <=50K
41,13,0,0,40, <=50K
41,12,15024,0,60, >50K
19,10,0,0,20, <=50K
46,9,0,0,40, <=50K
43,9,0,0,48, <=50K
55,10,15024,0,45, >50K
46,11,0,0,40, <=50K
30,9,0,0,40, <=50K
21,10,0,0,40, <=50K
46,10,0,0,40, <=50K
17,6,0,0,40, <=50K
41,9,0,0,50, <=50K
69,9,0,0,30, <=50K
50,9,0,0,40, <=50K
20,10,0,0,40, <=50K
45,10,0,0,50, <=50K
