age,capital-gain,capital-loss,hours-per-week,class
41,0,0,92, <=50K
48,0,0,40, <=50K
60,0,0,25, <=50K
37,0,0,45, <=50K
73,3273,0,40, <=50K
57,0,0,72, <=50K
22,0,0,35, <=50K
55,27828,0,55, >50K
45,0,0,40, <=50K
36,0,0,50, >50K
42,0,1902,50, >50K
67,0,0,41, <=50K
25,0,0,20, <=50K
23,0,0,40, <=50K
38,15024,0,40, >50K
21,0,0,40, <=50K
43,15024,0,45, >50K
21,0,0,20, <=50K
46,0,0,40, <=50K
47,0,0,40, <=50K
27,0,0,40, <=50K
90,1086,0,60, <=50K
48,3325,0,53, <=50K
75,4931,0,3, <=50K
24,0,0,40, >50K
50,0,0,40, >50K
27,0,0,40, <=50K
52,0,0,25, <=50K
27,0,0,60, <=50K
29,0,0,60, >50K
19,0,0,40, <=50K
28,0,0,40, <=50K
46,0,0,50, >50K
39,0,0,40, <=50K
50,0,0,40, <=50K
40,0,0,42, >50K
67,0,0,20, <=50K
44,0,0,65, >50K
41,0,0,40, <=50K
28,0,0,24, <=50K
27,0,0,50, <=50K
60,0,0,40, <=50K
49,0,0,40, >50K
35,0,0,35, <=50K
39,0,0,40, >50K
20,0,0,20, <=50K
22,0,0,40, <=50K
24,0,0,40, <=50K
30,7688,0,50, >50K
52,5013,0,40, <=50K
35,0,0,40, <=50K
41,0,0,45, <=50K
44,0,0,39, <=50K
47,0,0,30, >50K
50,0,0,16, <=50K
52,0,0,40, <=50K
31,0,0,40, <=50K
50,0,0,40, <=50K
23,0,0,25, <=50K
28,0,0,40, <=50K
48,0,0,56, >50K
35,0,0,50, >50K
23,0,0,40, <=50K
61,0,0,37, <=50K
41,0,0,40, <=50K
24,0,0,40, <=50K
24,0,0,30, <=50K
49,0,0,35, <=50K
40,0,0,55, >50K
22,0,0,36, <=50K
42,5178,0,40, >50K
35,0,0,60, <=50K
50,0,0,40, <=50K
51,14084,0,50, >50K
32,0,0,50, <=50K
45,0,0,38, >50K
35,5721,0,40, <=50K
62,0,0,40, <=50K
37,0,0,60, >50K
24,0,0,45, <=50K
19,0,0,20, <=50K
23,0,0,40, <=50K
28,0,0,65, <=50K
