category,text
business,"LSE doubts boost bidders' shares Shares in Deutsche Boerse have risen more than 3% after a shareholder fund voiced opposition to the firm's planned takeover of the London Stock Exchange. TCI, which claims to represent owners of 5% of Deutsche Boerse's (DB) shares, has complained that the Â£1.35bn ($2.5bn) offer for the LSE is too high. Opposition from TCI has fuelled speculation that the proposed takeover could fail. Rival exchange operator Euronext has also said it may bid for the LSE. Euronext operates the Paris, Amsterdam, Brussels and Lisbon bourses, while Deutsche Boerse runs the Frankfurt exchange. BBC News spoke to a number of analysts on Monday morning about shareholder worries over Deutsche Boerse's bid for LSE. Although none were prepared to speak on the record, most thought it was unlikely that TCI's opposition would halt the deal ""Obviously we'll have to wait and see, but I don't think it will make much difference. Deutsche Boerse appears very committed,"" said one London-based broker. He forecast the takeover bid would succeed and was more concerned to see improvements in the daily running of the LSE. In voicing its opposition to the planned takeover, TCI said it would prefer to see Deutsche Boerse return $500m (Â£350m) to shareholders. The Deutsche Boerse was prepared to pay for the LSE ""exceeds the potential benefits of this acquisition"", said TCI. Another Deutsche Boerse shareholder on Monday also appeared to back TCI's call. Another investor in Deutsche Boerse has supported the view that a payout to shareholders would be preferable to Deutsche Boerse overpaying for the LSE, Reuters news agency reported. ""We prefer a sensible entrepreneurial solution at a price that is not too high,"" said Rolf Dress, a spokesman for Union Investment. ""If that cannot be achieved, then we would wish for a distribution of liquid assets to shareholders."" The Financial Times also reported a third Deutsche Boerse shareholder as opposed to the deal. It quoted a spokesman for US-based hedge fund Atticus Capital complaining that the planned takeover appeared to be motivated by ""empire-building"" rather than the best interests of shareholders. TCI has called for Deutsche Boerse to hold an emergency general meeting to discuss the bid for LSE. Yet under German business law, DB does not have to gain shareholder approval before making a significant acquisition. Deutsche Boerse said TCI's opposition would not change its bid approach. ""Deutsche Boerse is convinced that its contemplated cash acquisition of the London Stock Exchange is in the best interests of its shareholders and the company,"" it said. DB's shares were up 3.4% to 45.25 euros by 1030 GMT, the highest gainer in Frankfurt."
business,"Saudi investor picks up the Savoy London's famous Savoy hotel has been sold to a group combining Saudi billionaire investor Prince Alwaleed bin Talal and a unit of HBOS bank. Financial details of the deal, which includes the nearby Simpson's in the Strand restaurant, were not disclosed. The seller - Irish-based property firm Quinlan Private - bought the Savoy along with the Berkeley, Claridge's and the Connaught for Â£750m last year. Prince Alwaleed's hotel investments include the luxury George V in Paris. He also has substantial stakes in Fairmont Hotels & Resorts, which will manage the Savoy and Simpson's in the Strand, and Four Seasons. Fairmont said it planned to invest $48m (Â£26m) in renovating parts of the Savoy including the River Room and suites with views over the River Thames. Work was expected to be completed by summer 2006, Fairmont said."
business,"BMW cash to fuel Mini production Less than four years after the new Mini was launched, German car maker BMW has announced Â£100m of new investment. Some 200 new jobs are to be created at the Oxford factory, including modernised machinery and a new body shell production building. The result of the investment could be to raise output to more than 200,000 cars from 2007. The rise, from 189,000 last year, is a response to rapidly-rising demand and could help wipe out waiting lists. Before Wednesday's announcement, BMW had invested some Â£280m in Mini production. Since its launch during summer 2001, the new Mini has gone from strength to strength. Last year, almost one in six cars sold by the BMW group was a Mini. The company admits that the success of the brand came despite scepticism from many in the industry. ""Our decision to produce a new Mini was not received well right away,"" said Norbert Reithofer, a member of the BMW management board. Initially, BMW said it would produce 100,000 Mini models a year at its vast Cowley factory on the outskirts of Oxford, but the target was quickly reached, then raised, time and time again. Not everyone is convinced that the boom can continue. ""The risk is that after they've invested massively in the brand, demand tapers off like it did with the new VW Beetle,"" said Brad Wernle, from Automotive News Europe. The price of the car has also gone up. When it was launched, the cheapest Mini cost just more than Â£10,000. These days, buyers will have to fork out almost Â£11,500 to own a new Mini One, or even more for the Cooper S which costs up to Â£17,730. The Mini Convertible, which was launched last spring, costs up to Â£15,690 for the top model, and there is even a waiting list. Second-hand Minis are not cheap either. A Mini One bought when the model was launched should still fetch at least Â£8,000 for the cheapest model, while a used Cooper S is likely to be priced from Â£12,556, according to the-car buying website Parker's. The consumers' association Which operates with slightly different numbers, yet it confirms that the Mini Cooper 1.6 depreciates slower than any other car, other than the Mercedes Benz C180 SE and the BMW 1 Series 116i SE. The Cowley factory, which initially seemed far too large a production plant for just 100,000 Minis, is increasingly being put to good use. There are plans to tear down old buildings and build new ones and there are rumours that a new paint shop could be included in the plans. BMW's Mini adventure has made good much of what went wrong during its stewardship of the UK car maker Rover which it sold for Â£10 five years ago to the Phoenix consortium. In 1999, when BMW still owned Rover, the Oxford factory was producing the award-winning Rover 75. During that year, 3,500 people produced 56,000 cars. Last year, in the same factory, almost four times as many vehicles were produced by just 4,500 Mini-workers. The Mini factory's current output is equally impressive when compared with the main Rover factory in Longbridge, which in 1999 produced 180,000 Rover cars. Last year, MG Rover, which employs more than 6,000 people, produced just 110,000 cars, though it hopes to land a deal with Shanghai Automotive Industry Corporation (SAIC) that could help double the number of cars produced at Longbridge. Indeed, Mini is not only producing more cars than MG Rover does; it remains ahead even when the current sales of Land Rovers and Range Rovers (which are made by the former Rover unit that BMW sold to Ford) are taken into account."
business,"Consumer spending lifts US growth US economic growth accelerated in the third quarter, helped by strong consumer spending, official figures have shown. The economy expanded at an annual rate of 3.7% in the July to September period, the Commerce Department said. The figure marked an increase on the 3.3% growth recorded in the second quarter, but fell short of the 4.2% rate pencilled in by forecasters. The increase reflected the biggest jump in consumer spending in a year. ""It was a little softer than the consensus, but not a real surprise,"" said Gary Thayer, an economist at AG Edwards & Sons. Friday's growth estimate is one of the last significant pieces of economic data before the 2 November presidential election. Democrat challenger John Kerry has criticised President George W Bush's handling of the economy, pointing to a net loss of over 800,000 jobs since Mr Bush took office. Analysts said the economy was still not growing fast enough to stimulate large-scale job creation. ""It's a pretty good growth rate, but it may not be good enough to create enough jobs,"" said Robert Brusca, chief economist at Fact and Opinion Economics in New York. However, President Bush is expected to point to Commerce Department figures showing that consumer spending grew at 4.6% in the third quarter, up from just 1.6% in the second, as evidence that his policies are generating solid growth. Consumer spending accounts for about two thirds of all economic activity in the US. The weaker than expected growth figure makes it less likely that the US Federal Reserve will raise interest rates next month, economists said. ""The economy regained some traction in the third quarter, but the growth is not robust,"" AG Edwards' Thayer. ""I think that means the Fed can take its time raising rates. We'll probably see one more rate hike before the end of the year."" In an effort to pre-empt rising inflation, the Federal Reserve has pushed through three quarter-point rate rises since June this year, taking borrowing costs to 1.75%. On the financial markets, the dollar fell slightly against the euro and the yen, while the Dow Jones index of leading US shares was little changed."
business,"Honda wins China copyright ruling Japan's Honda has won a copyright case in Beijing, further evidence that China is taking a tougher line on protecting intellectual property rights. A court ruled that Chongqing Lifan Industry Group must stop selling Honda brand motorbikes and said it must pay 1.47m yuan ($177,600) in compensation. Internationally recognized regulation is now a key part of China's plans for developing its economy, analysts said. Beijing also has been threatened with sanctions if it fails to clamp down. Chinese firms copy products ranging from computer software and spark plugs to baby milk and compact discs. Despite the fact that product piracy is a major problem, foreign companies have only occasionally won cases and the compensation awarded has usually been small. Still, recent rulings and announcements will have boosted optimism that attitudes are changing. Earlier this week China said that in future it will punish violators of intellectual property rights with up to seven years in jail. And on Tuesday, Paws Incorporated - the owner of the rights to Garfield the cat - won a court battle against a publishing house that violated its copyright. Other firms that have taken legal action in China, with varying degrees of success, include Yamaha, General Motors and Toyota. The problem of piracy is not limited to China, however, and the potential for profit is huge. The European Union estimates that the global trade in pirated wares is worth more than 200bn euros a year (Â£140bn; $258bn), or about 5% of total world trade. And it is growing. Between 1998 and 2002, the number of counterfeit or pirated goods intercepted at the EU's external borders increased by more than 800%, it said. Last month the EU said it will start monitoring China, Ukraine and Russia to ensure they are going after pirated goods. Other countries on the EU's hit list include Thailand, Brazil, South Korea and Indonesia. Any countries that are not making enough of an effort could be dragged to the World Trade Organisation (WTO), a step that could trigger economic sanctions, the EU warned."
business,"Oil prices fall back from highs Oil prices retreated from four-month highs in early trading on Tuesday after producers' cartel Opec said it was now unlikely to cut production. Following the comments by acting Opec secretary general Adnan Shihab-Eldin, US light crude fell 32 cents to $51.43 a barrel. He said that high oil prices meant Opec was unlikely to stick to its plan to cut output in the second quarter. In London, Brent crude fell 32 cents to $49.74 a barrel. Opec members are next meeting to discuss production levels on 16 March. On Monday, oil prices rose for a sixth straight session, reaching a four-month high as cold weather in the US threatened stocks of heating oil. US demand for heating oil was predicted to be about 14% above normal this week, while stocks were currently about 7.5% below the levels of a year ago. Cold weather across Europe has also put upward pressure on crude prices."
business,"Brewers' profits lose their fizz Heineken and Carlsberg, two of the world's largest brewers, have reported falling profits after beer sales in western Europe fell flat. Dutch firm Heineken saw its annual profits drop 33% and warned that earnings in 2005 may also slide. Danish brewer Carlsberg suffered a 3% fall in profits due to waning demand and increased marketing costs. Both are looking to Russia and China to provide future growth as western European markets are largely mature. Heineken's net income fell to 537m euros ($701m; Â£371m) during 2004, from 798m euro a year ago. It blamed weak demand in western Europe and currency losses. It had warned in September that the weakening US dollar, which has cut the value of foreign sales, would knock 125m euros off its operating profits. Despite the dip in profits, Heineken's sales have been improving and total revenue for the year was 10bn euros, up 8.1% from 9.26bn euros in 2003. Heineken said it now plans to invest 100m euros in ""aggressive"" and ""high-impact"" marketing in Europe and the US in 2005. Heineken, which also owns the Amstel and Murphy's stout brands, said it would also seek to cut costs. This may involve closing down breweries. Heineken increased its dividend payment by 25% to 40 euro cents, but warned that the continued impact of a weaker dollar and an increased marketing spend may lead to a drop in 2005 net profit. Carlsberg, the world's fifth-largest brewer, saw annual pre-tax profits fall to 3.4bn Danish kroner (456m euros). Its beer sales have been affected by the sluggish European economy and by the banning of smoking in pubs in several European countries. Nevertheless, total sales increased 4% to 36bn kroner, thanks to strong sales of Carlsberg lager in Russia and Poland. Carlsberg is more optimistic than Heineken about 2005, projecting a 15% rise in net profits for the year. However, it also plans to cut 200 jobs in Sweden, where sales have been hit by demand for cheap, imported brands. ""We remain cautious about the medium-to-long term outlook for revenue growth across western Europe for a host of economic, social and structural reasons,"" investment bank Merrill Lynch said of Carlsberg."
business,"Feta cheese battle reaches court A row over whether only Greece should be allowed to label its cheese feta has reached the European Court of Justice. The Danish and German governments are challenging a European Commission ruling which said Greece should have sole rights to use the name. The Commission's decision gave the same legal protection to feta as to Italian Parma ham and French Champagne. But critics of the judgement say feta is a generic term, with the cheese produced widely outside Greece. The Commission's controversial 2002 ruling gave ""protected designation of origin"" status to feta cheese made in Greece, effectively restricting the use of the feta name to producers there. From 2007 onwards, Greek firms will have the exclusive use of the feta label and producers elsewhere in Europe must find another name to describe their products. The German and Danish governments argue that feta does not relate to a specific geographical area and that their firms have been producing and exporting the cheese for years. ""In our opinion it is a generic designation and we do not have any other name or term for this type of cheese,"" Hans Arne Kristiansen, a spokesman for the Danish Dairy Board, told the BBC. Denmark is Europe's second largest producer of feta after Greece - producing about 30,000 tonnes a year - and exports its products to Greece. It is concerned that the ruling could threaten the production of other cheeses in Denmark such as brie. ""It would cost millions if we wanted to introduce a new designation,"" Mr Kristiansen said. ""That is just one of the costs."" The case will also have a major impact on Britain's sole feta producer, Yorkshire company Shepherds Purse Cheeses. Judy Bell, the company's founder, said it would cost a huge amount to rebrand its product. ""If we lose we will have to go through a massive re-merchandising process and reorganisation,"" she said. ""We have never tried to pull the wool over anyone's eyes - it's very clear from the label that it's Yorkshire feta."" The original decision was a victory for Greece, where feta cheese is believed to have been produced for about 6,000 years. Feta is a soft white cheese made from sheep or goat's milk, and is an essential ingredient in Greek cuisine. Greece makes 115,000 tonnes, mainly for domestic consumption. The Court is expected to reach a verdict in the case in the autumn."
business,"China's Shanda buys stake in Sina Chinese online game operator Shanda Interactive Entertainment has bought a 20% stake in Sina, the country's biggest internet portal firm. The move may be a precursor to a full takeover, with analysts saying that a better-known international firm may also now show an interest in Sina. Shanda said that it may boost its stake in Sina, even buying it outright. A merger would create a firm that offers online role-playing games, news, entertainment and wireless messaging. Sina said that the purchase of a stake by Shanda would have no impact on its business. The board of directors said in a statement that it would ""continue to act in the best interests of all the company stakeholders, including shareholders, employees and customers"". Both companies are listed on the New York Stock Exchange's (NYSE) technology-dominated Nasdaq index. In a filing with the US Securities and Exchange Commission, Sina said its shares were purchased between 12 January and 10 February for about $230m. Rumours about a possible takeover boosted Sina's shares by more than 10% on Friday. They added an extra 6.4% to $27.24 in electronic trading after the trading session had finished. And there may be more gains amid bid speculation when trading resumes in New York on Tuesday after Monday's public holiday, analysts forecast. ""There could still be some potential parties that could still counter bid,"" said Wallace Cheung, an analyst at DBS Vickers. ""Even though Shanda has 20% of Sina, they still have quite a long way to take full control."" However, Mr Cheung noted that a foreign company trying to take control of a Chinese internet portal firm, with its ability to filter and pass on news, may not be viewed very favourably by Beijing."
business,"Budget Aston takes on Porsche British car maker Aston Martin has gone head-to-head with Porsche's 911 sports cars with the launch of its cheapest model yet. With a price tag under Â£80,000, the V8 Vantage is tens of thousands of pounds cheaper than existing Aston models. The Vantage is ""the most important car in the history of our company"", said Aston's chief executive Ulrich Bez. Aston - whose cars were famously used by James Bond - will unveil the Vantage at the Geneva Motor Show on Thursday. Mr Bez - himself a former executive at rival Porsche - said the new car was the company's ""most affordable car ever and makes the brand accessible"". This in turn would make Aston Martin ""globally visible, but still very, very exclusive"", he added. First shown as a concept car at the 2003 North American International Auto Show in Detroit, the V8 Vantage will be available in the UK in late summer. Development costs for the Vantage have been kept low by sharing a platform with Aston's DB9, which Mr Bez described as ""the previous most important car for our company"". There is currently an 18 months waiting list for the DB9, Mr Bez said. The Vantage will be built at the new Aston factory in Gaydon, near Warwick, and should more than double Aston's total output from about 2,000 presently."
