Recency,Frequency,Monetary,Time,Class
2,50,12500,98,donated
0,13,3250,28,donated
1,16,4000,35,donated
2,20,5000,45,donated
1,24,6000,77,not donated
4,4,1000,4,not donated
2,7,1750,14,donated
1,12,3000,35,not donated
2,9,2250,22,donated
5,46,11500,98,donated
4,23,5750,58,not donated
0,3,750,4,not donated
2,10,2500,28,donated
1,13,3250,47,not donated
2,6,1500,15,donated
2,5,1250,11,donated
2,14,3500,48,donated
2,15,3750,49,donated
2,6,1500,15,donated
2,3,750,4,donated
2,3,750,4,donated
4,11,2750,28,not donated
2,6,1500,16,donated
2,6,1500,16,donated
9,9,2250,16,not donated
4,14,3500,40,not donated
4,6,1500,14,not donated
4,12,3000,34,donated
4,5,1250,11,donated
4,8,2000,21,not donated
1,14,3500,58,not donated
4,10,2500,28,donated
4,10,2500,28,donated
4,9,2250,26,donated
2,16,4000,64,not donated
2,8,2000,28,donated
2,12,3000,47,donated
4,6,1500,16,donated
2,14,3500,57,donated
4,7,1750,22,donated
2,13,3250,53,donated
2,5,1250,16,not donated
2,5,1250,16,donated
2,5,1250,16,not donated
4,20,5000,69,donated
4,9,2250,28,donated
2,9,2250,36,not donated
2,2,500,2,not donated
2,2,500,2,not donated
2,2,500,2,not donated
2,11,2750,46,not donated
2,11,2750,46,donated
2,6,1500,22,not donated
2,12,3000,52,not donated
4,5,1250,14,donated
4,19,4750,69,donated
4,8,2000,26,donated
2,7,1750,28,donated
2,16,4000,81,not donated
3,6,1500,21,not donated
2,7,1750,29,not donated
2,8,2000,35,donated
2,10,2500,49,not donated
4,5,1250,16,donated
2,3,750,9,donated
3,16,4000,74,not donated
2,4,1000,14,donated
0,2,500,4,not donated
4,7,1750,25,not donated
1,9,2250,51,not donated
2,4,1000,16,not donated
2,4,1000,16,not donated
4,17,4250,71,donated
2,2,500,4,not donated
2,2,500,4,donated
2,2,500,4,donated
2,4,1000,16,donated
2,2,500,4,not donated
2,2,500,4,not donated
2,2,500,4,not donated
4,6,1500,23,donated
2,4,1000,16,not donated
2,4,1000,16,not donated
2,4,1000,16,not donated
2,6,1500,28,donated
2,6,1500,28,not donated
4,2,500,4,not donated
4,2,500,4,not donated
4,2,500,4,not donated
2,7,1750,35,donated
4,2,500,4,donated
4,2,500,4,not donated
4,2,500,4,not donated
4,2,500,4,not donated
12,11,2750,23,not donated
4,7,1750,28,not donated
3,17,4250,86,not donated
4,9,2250,38,donated
4,4,1000,14,donated
5,7,1750,26,donated
4,8,2000,34,donated
2,13,3250,76,donated
4,9,2250,40,not donated
2,5,1250,26,not donated
