date,open,close
2003-01-02,67.2,67.82
2003-01-03,67.82,68.34
2003-01-06,68.34,69.9
2003-01-07,69.75,68.45
2003-01-08,68.46,68.05
2003-01-09,68.15,69.12
2003-01-10,68.5,68.61
2003-01-13,68.78,68.18
2003-01-14,68.23,68.5
2003-01-15,68.68,68.15
2003-01-16,68.65,68.32
2003-01-17,68.32,68.11
2003-01-21,68.12,66.85
2003-01-22,66.4,65.7
2003-01-23,65.45,64.97
2003-01-24,64.83,63.54
2003-01-27,63.45,61.85
2003-01-28,62.22,62.95
2003-01-29,62.22,62.95
2003-01-30,65.48,64.2
2003-01-31,62.25,64.4
2003-02-03,64.41,65.65
2003-02-04,64.8,65.47
2003-02-05,65.8,65.07
2003-02-06,65.07,64.65
2003-02-07,64.6,63.72
2003-02-10,63.85,64.94
2003-02-11,65.1,64.53
2003-02-12,63.83,63.08
2003-02-13,62.9,63.0
2003-02-14,63.05,63.73
2003-02-18,64.32,64.0
2003-02-19,64.01,64.41
2003-02-20,65.0,63.5
2003-02-21,64.1,64.05
2003-02-24,64.17,64.41
2003-02-25,64.42,64.19
2003-02-26,63.92,64.08
2003-02-27,64.74,64.16
2003-02-28,64.16,64.17
2003-03-03,64.53,64.54
2003-03-04,64.7,64.65
2003-03-05,64.8,65.95
2003-03-06,65.96,65.38
2003-03-07,64.8,65.26
2003-03-10,65.2,63.9
2003-03-11,64.55,63.74
2003-03-12,63.74,63.05
2003-03-13,64.15,63.66
2003-03-14,63.82,64.19
2003-03-17,63.6,64.71
2003-03-18,64.71,65.63
2003-03-19,65.7,65.83
2003-03-20,65.83,65.8
2003-03-21,66.65,66.0
2003-03-24,65.55,64.98
2003-03-25,65.23,66.02
2003-03-26,66.25,65.8
2003-03-27,65.2,65.2
2003-03-28,65.0,65.25
2003-03-31,64.8,64.65
2003-04-01,64.81,65.49
2003-04-02,65.86,65.08
2003-04-03,64.75,64.4
2003-04-04,64.75,64.94
2003-04-07,65.75,64.4
2003-04-08,64.1,64.2
2003-04-09,64.65,64.2
2003-04-10,64.15,64.08
2003-04-11,63.96,63.56
2003-04-14,63.57,63.92
2003-04-15,63.85,64.03
2003-04-16,64.4,63.5
