date,open,close
2003-01-02,71.62,72.93
2003-01-03,72.12,72.27
2003-01-06,72.93,74.9
2003-01-07,72.4,71.35
2003-01-08,69.51,69.46
2003-01-09,69.52,71.3
2003-01-10,70.27,70.72
2003-01-13,70.06,69.58
2003-01-14,69.11,69.45
2003-01-15,69.46,69.43
2003-01-16,69.46,69.8
2003-01-17,69.41,69.34
2003-01-21,67.87,66.86
2003-01-22,66.87,65.76
2003-01-23,64.9,65.6
2003-01-24,65.25,64.64
2003-01-27,63.5,63.22
2003-01-28,64.2,65.33
2003-01-29,65.62,67.36
2003-01-30,66.75,65.87
2003-01-31,65.87,67.91
2003-02-03,67.92,68.33
2003-02-04,68.0,68.33
2003-02-05,67.77,67.33
2003-02-06,66.4,65.38
2003-02-07,65.13,64.0
2003-02-10,64.95,64.71
2003-02-11,64.62,64.45
2003-02-12,63.78,62.5
2003-02-13,62.98,63.79
2003-02-14,64.07,65.39
2003-02-18,66.5,66.65
2003-02-19,67.03,65.69
2003-02-20,66.18,65.38
2003-02-21,66.3,67.85
2003-02-24,67.31,67.35
2003-02-25,65.9,66.3
2003-02-26,66.3,64.93
2003-02-27,64.71,64.62
2003-02-28,65.0,65.75
2003-03-03,66.78,66.81
2003-03-04,66.21,66.09
2003-03-05,65.98,66.45
2003-03-06,66.3,66.7
2003-03-07,65.75,65.3
2003-03-10,65.2,64.55
2003-03-11,64.82,64.1
2003-03-12,62.03,61.87
2003-03-13,61.87,63.5
2003-03-14,62.91,63.71
2003-03-17,63.85,65.5
2003-03-18,65.5,63.85
2003-03-19,65.0,64.85
2003-03-20,64.85,63.6
2003-03-21,64.27,64.15
2003-03-24,63.43,62.5
2003-03-25,64.1,64.76
2003-03-26,65.06,64.35
2003-03-27,62.87,63.55
2003-03-28,63.45,64.15
2003-03-31,63.45,63.27
2003-04-01,64.5,65.43
2003-04-02,65.32,65.3
2003-04-03,66.37,65.97
2003-04-04,67.0,67.0
2003-04-07,68.25,67.05
2003-04-08,67.29,67.35
2003-04-09,67.7,67.52
2003-04-10,66.6,66.4
2003-04-11,66.52,65.79
2003-04-14,65.9,66.87
2003-04-15,66.35,66.91
2003-04-16,67.13,65.99
2003-04-17,66.64,67.5
2003-04-21,66.9,67.0
2003-04-22,66.65,68.3
2003-04-23,68.3,67.84
2003-04-24,67.7,66.98
2003-04-25,65.23,65.0
2003-04-28,65.16,66.76
2003-04-29,66.23,65.8
2003-04-30,66.2,65.7
2003-05-01,65.84,66.08
2003-05-02,66.9,68.63
2003-05-05,69.45,69.7
2003-05-06,70.5,71.38
2003-05-07,71.43,71.75
2003-05-08,71.26,71.05
2003-05-09,71.2,72.6
2003-05-12,72.31,73.02
2003-05-13,69.97,69.95
2003-05-14,70.25,69.65
2003-05-15,69.65,69.95
2003-05-16,71.18,72.25
2003-05-19,71.2,69.57
2003-05-20,70.41,70.4
2003-05-21,70.4,71.26
2003-05-22,71.5,71.82
2003-05-23,71.43,71.6
2003-05-27,71.1,72.6
2003-05-28,72.22,72.5
2003-05-29,73.0,72.51
2003-05-30,72.42,73.55
2003-06-02,73.22,74.0
2003-06-03,74.04,75.15
2003-06-04,75.3,76.67
2003-06-05,75.41,76.24
2003-06-06,76.7,76.4
2003-06-09,76.07,76.22
2003-06-10,76.67,77.08
2003-06-11,78.5,79.8
2003-06-12,80.55,80.05
2003-06-13,80.1,79.25
2003-06-16,80.76,81.76
2003-06-17,80.12,79.95
2003-06-18,79.93,79.77
2003-06-19,79.77,79.22
2003-06-20,79.94,79.19
2003-06-23,78.74,78.43
2003-06-24,78.27,78.51
2003-06-25,77.87,77.95
2003-06-26,77.08,76.84
2003-06-27,75.92,75.9
2003-06-30,76.25,75.8
2003-07-01,74.8,75.4
2003-07-02,74.88,75.71
2003-07-03,75.71,74.68
2003-07-07,75.3,75.46
2003-07-08,75.3,75.6
2003-07-09,74.95,74.17
2003-07-10,73.19,73.6
2003-07-11,73.84,74.83
2003-07-14,74.75,74.65
2003-07-15,74.25,72.82
2003-07-16,73.05,73.04
2003-07-17,72.85,73.45
2003-07-18,73.7,74.6
2003-07-21,73.95,73.75
2003-07-22,74.0,74.57
2003-07-23,74.6,74.4
2003-07-24,74.85,74.95
2003-07-25,74.79,75.1
2003-07-28,75.15,75.24
2003-07-29,75.05,74.22
2003-07-30,74.04,74.0
2003-07-31,74.15,73.6
2003-08-01,72.67,72.95
2003-08-04,73.83,73.66
2003-08-05,73.96,74.55
2003-08-06,74.18,73.92
2003-08-07,74.37,75.57
2003-08-08,77.43,77.12
2003-08-11,78.25,78.84
2003-08-12,78.46,78.35
2003-08-13,78.19,77.7
2003-08-14,78.2,79.46
2003-08-15,79.83,79.27
2003-08-18,78.87,79.37
2003-08-19,78.8,78.74
2003-08-20,77.95,78.05
2003-08-21,78.2,77.47
2003-08-22,76.94,76.86
2003-08-25,76.94,76.68
2003-08-26,75.49,75.7
2003-08-27,75.75,76.05
2003-08-28,76.28,77.2
2003-08-29,77.1,77.01
2003-09-02,77.2,77.47
2003-09-03,77.18,77.6
2003-09-04,78.0,78.55
2003-09-05,78.15,78.53
2003-09-08,78.98,79.78
2003-09-09,79.2,78.75
2003-09-10,78.95,78.15
2003-09-11,78.54,78.41
2003-09-12,78.92,78.64
2003-09-15,77.57,77.7
2003-09-16,77.5,77.87
2003-09-17,77.9,77.75
2003-09-18,77.57,77.58
2003-09-19,77.31,77.5
2003-09-22,76.68,76.52
2003-09-23,76.57,76.45
2003-09-24,77.45,76.84
2003-09-25,77.78,77.16
2003-09-26,76.2,76.08
2003-09-29,75.48,76.42
2003-09-30,76.65,75.8
2003-10-01,76.54,78.4
2003-10-02,76.39,76.9
2003-10-03,78.15,77.5
2003-10-06,78.05,78.47
2003-10-07,78.1,78.55
2003-10-08,79.33,78.28
2003-10-09,78.56,78.75
2003-10-10,79.32,79.4
2003-10-13,79.87,80.25
2003-10-14,80.34,80.75
2003-10-15,80.58,80.05
2003-10-16,79.8,79.84
2003-10-17,79.01,78.85
2003-10-20,78.85,79.25
2003-10-21,78.8,78.92
2003-10-22,78.58,78.18
2003-10-23,78.19,78.05
2003-10-24,77.28,77.65
2003-10-27,78.0,78.16
2003-10-28,78.0,78.37
2003-10-29,77.55,78.12
2003-10-30,79.16,78.0
2003-10-31,77.4,78.07
2003-11-03,78.15,77.64
2003-11-04,78.4,78.1
2003-11-05,77.22,77.12
2003-11-06,77.43,77.66
2003-11-07,77.73,78.31
2003-11-10,78.35,77.3
2003-11-11,77.54,77.66
2003-11-12,77.53,78.49
2003-11-13,78.47,79.1
2003-11-14,79.3,79.69
2003-11-17,79.22,78.6
2003-11-18,78.65,78.45
2003-11-19,78.99,78.91
2003-11-20,77.95,78.25
2003-11-21,78.9,78.83
2003-11-24,79.12,79.42
2003-11-25,79.27,79.33
2003-11-26,80.05,80.4
2003-11-28,80.75,80.77
2003-12-01,81.9,82.65
2003-12-02,82.96,82.79
2003-12-03,83.83,83.51
2003-12-04,83.37,83.82
2003-12-05,83.01,83.21
2003-12-08,83.22,84.22
2003-12-09,85.92,85.57
2003-12-10,85.33,85.41
2003-12-11,85.05,85.92
2003-12-12,86.69,86.67
2003-12-15,87.0,86.17
2003-12-16,87.46,87.97
2003-12-17,88.06,88.93
2003-12-18,89.26,90.84
2003-12-19,90.09,89.45
2003-12-22,89.85,89.86
2003-12-23,88.99,89.11
2003-12-24,89.05,89.65
2003-12-26,89.85,89.94
2003-12-29,90.07,90.68
2003-12-30,91.0,91.0
2003-12-31,92.18,92.51
2004-01-02,93.44,93.25
2004-01-05,93.8,95.46
2004-01-06,94.75,94.35
2004-01-07,91.85,91.57
2004-01-08,91.2,91.14
2004-01-09,90.25,90.43
2004-01-12,91.15,91.3
2004-01-13,91.55,91.2
2004-01-14,89.88,90.52
2004-01-15,91.46,90.82
2004-01-16,89.35,90.27
2004-01-20,91.32,91.5
2004-01-21,92.12,92.77
2004-01-22,92.48,92.35
2004-01-23,92.1,91.91
2004-01-26,91.22,91.39
2004-01-27,91.56,91.49
2004-01-28,91.43,90.45
2004-01-29,89.9,89.7
2004-01-30,88.67,88.3
2004-02-02,88.1,88.55
2004-02-03,89.14,89.51
2004-02-04,89.41,88.85
2004-02-05,89.22,88.57
2004-02-06,88.5,89.73
2004-02-09,91.33,91.7
2004-02-10,90.55,91.72
2004-02-11,90.39,92.53
2004-02-12,90.72,90.92
2004-02-13,91.17,90.1
2004-02-17,90.74,91.09
2004-02-18,91.17,91.11
2004-02-19,91.55,91.22
2004-02-20,93.45,91.72
2004-02-23,92.66,93.16
2004-02-24,92.55,93.23
2004-02-25,92.23,92.47
2004-02-26,92.18,92.85
2004-02-27,92.6,91.99
2004-03-01,93.08,93.9
2004-03-02,93.27,92.31
2004-03-03,92.47,92.35
2004-03-04,91.26,92.22
2004-03-05,91.86,92.96
2004-03-08,93.59,93.18
2004-03-09,93.0,92.89
2004-03-10,93.97,93.61
2004-03-11,92.28,91.32
2004-03-12,90.44,90.74
2004-03-15,91.16,90.1
2004-03-16,90.22,90.35
2004-03-17,89.83,90.72
2004-03-18,91.83,92.17
2004-03-19,92.09,91.82
