date,open,close
2003-01-02,37.04,38.12
2003-01-03,38.13,37.57
2003-01-06,37.37,37.52
2003-01-07,37.46,37.06
2003-01-08,36.51,35.52
2003-01-09,35.92,37.55
2003-01-10,37.55,37.56
2003-01-13,37.5,38.35
2003-01-14,38.35,38.32
2003-01-15,38.22,38.06
2003-01-16,38.26,37.99
2003-01-17,37.5,37.1
2003-01-21,37.11,36.05
2003-01-22,35.8,35.62
2003-01-23,35.92,36.26
2003-01-24,35.9,35.51
2003-01-27,35.26,33.77
2003-01-28,34.25,33.1
2003-01-29,34.25,33.1
2003-01-30,34.91,34.15
2003-01-31,33.5,34.39
2003-02-03,34.39,36.38
2003-02-04,36.25,37.14
2003-02-05,37.6,36.75
2003-02-06,36.5,37.92
2003-02-07,38.0,38.0
2003-02-10,37.9,37.66
2003-02-11,37.71,37.81
2003-02-12,37.81,36.75
2003-02-13,36.75,36.01
2003-02-14,36.01,35.72
2003-02-18,35.83,37.0
2003-02-19,36.85,36.79
2003-02-20,36.79,36.29
2003-02-21,36.3,37.51
2003-02-24,37.71,38.82
2003-02-25,38.82,38.23
2003-02-26,38.4,39.35
2003-02-27,39.5,39.0
2003-02-28,39.15,39.01
2003-03-03,39.16,39.39
2003-03-04,39.45,39.82
2003-03-05,39.67,40.7
2003-03-06,41.0,40.19
2003-03-07,40.2,40.49
2003-03-10,41.2,41.12
2003-03-11,41.5,40.32
2003-03-12,40.17,39.85
2003-03-13,39.99,39.55
2003-03-14,39.75,39.95
2003-03-17,39.6,40.9
2003-03-18,40.69,40.96
2003-03-19,41.16,40.75
2003-03-20,40.75,41.85
2003-03-21,41.85,41.83
2003-03-24,41.45,41.16
2003-03-25,41.24,41.42
2003-03-26,40.31,40.05
2003-03-27,40.19,40.58
2003-03-28,40.58,41.62
2003-03-31,42.35,41.38
2003-04-01,41.78,41.88
2003-04-02,41.88,40.92
2003-04-03,40.95,40.37
2003-04-04,40.37,40.24
2003-04-07,40.24,39.35
2003-04-08,38.26,36.98
2003-04-09,37.48,37.73
2003-04-10,37.82,37.2
2003-04-11,37.21,37.0
2003-04-14,37.18,37.3
