frequency,monetary,recency
12,77556.46,324
8,5633.32,1
5,2019.4,74
4,4428.69,17
1,334.4,309
1,300.93,374
10,2849.84,35
2,406.76,203
1,1079.4,231
2,947.61,213
6,6373.68,21
3,18287.66,32
5,3887.07,0
10,8935.94,56
8,4252.89,51
4,511.25,286
11,5356.23,2
2,552.0,108
4,1313.1,6
2,641.38,290
1,500.24,632
1,168.9,3
1,917.6999999999999,627
3,1791.15,412
7,4320.31,50
5,4067.38,43
3,1298.04,70
3,1127.65,310
4,2989.2200000000003,24
2,457.5,9
2,503.15,388
4,3426.32,314
2,5416.32,128
4,1620.22,80
11,9676.300000000001,20
5,1845.31,3
5,1850.56,183
2,585.27,27
1,1938.4,378
2,660.8,336
1,143.94,414
8,3901.11,14
3,1433.33,401
1,549.84,78
6,2773.42,20
1,234.75000000000003,590
6,2399.4500000000003,71
2,1272.48,62
15,5067.27,18
1,931.43,673
2,2409.9,34
1,1635.6599999999999,44
7,1962.3,118
1,205.25,413
1,84.3,302
6,1256.9,322
2,1019.36,48
1,63.24,681
1,1710.39,147
5,6390.36,21
5,1708.1200000000001,48
8,4340.7699999999995,31
7,23419.29,77
3,1013.71,307
1,346.9,408
6,2596.93,73
4,999.45,65
6,952.41,216
27,144458.37,23
1,202.56,655
20,6816.91,2
4,2021.2,111
2,503.01,384
1,600.39,62
6,1098.6,14
17,5231.8,94
10,2622.39,-1
3,3340.03,161
2,1741.41,77
2,1345.21,193
3,1129.3,20
9,7956.46,24
8,7485.91,8
1,256.4,42
27,10857.97,34
5,5059.32,41
10,20581.26,-1
3,1103.43,83
6,13925.93,78
1,509.01,98
39,12683.4,0
2,2906.85,13
2,1158.18,681
2,859.2,461
1,347.1,365
1,172.06,2
1,485.31,731
5,5005.46,20
2,434.98,21
1,1002.3100000000001,56
1,476.49,242
1,449.45,43
6,4835.89,21
5,688.2,155
8,12669.88,9
2,430.57,15
1,707.09,133
5,16679.78,55
10,5879.95,72
3,3181.04,43
8,2995.91,65
4,1777.49,70
1,454.36,604
1,326.65,455
2,826.88,93
2,1189.59,17
4,1344.78,52
8,1212.05,9
2,742.1899999999999,16
1,56.73,681
1,132.8,422
5,3670.74,186
2,3070.54,521
1,211.95,688
78,39963.79,1
19,17880.59,31
5,3938.5499999999997,28
31,12424.45,16
2,1149.64,52
23,14115.41,14
9,20276.37,21
1,680.99,2
1,527.2,10
7,5464.85,27
15,12361.39,21
27,23691.4,575
19,5120.58,16
12,6370.15,31
1,708.1,528
1,1037.28,430
1,285.29999999999995,729
3,1298.66,8
1,334.93,335
21,9823.64,4
1,460.40000000000003,37
3,715.21,62
2,433.74,164
9,1872.8700000000001,14
1,357.4,639
2,54.09,619
3,6248.5,80
3,403.70000000000005,20
1,393.72,559
19,5955.21,22
1,2169.39,335
5,3723.87,94
1,1126.0,583
4,779.05,17
1,955.2,407
1,73.5,231
4,1844.06,133
2,398.27,25
1,176.5,283
9,5178.02,141
1,3084.02,427
2,138.03,65
1,612.29,111
2,1597.76,266
1,383.7,352
4,2648.62,76
5,2502.84,27
5,2056.89,-1
2,726.54,62
5,2634.26,78
1,599.68,141
2,192.72,38
23,4372.15,18
17,11126.11,8
3,973.73,497
3,1316.66,-1
5,735.51,80
6,1933.48,8
1,316.48,527
9,3759.26,58
2,1933.2,13
1,349.83000000000004,29
2,1367.89,626
1,1089.18,129
2,716.35,90
3,12601.830000000002,42
1,732.94,407
2,640.45,28
7,11214.75,21
33,22254.49,18
3,981.18,28
2,481.88,483
1,980.25,447
1,372.7,35
2,1000.39,74
2,1161.5,45
3,383.58,196
1,95.19999999999999,165
6,1575.68,574
1,964.83,78
1,168.0,356
2,437.82,37
12,4608.75,7
1,468.5,447
1,129.23,681
2,603.71,49
8,18716.14,15
1,269.96,6
2,561.71,309
3,2134.01,4
1,238.85,301
9,4966.92,7
1,249.24,407
1,456.9,260
1,145.92,287
1,351.65,85
15,13709.86,21
1,70.0,643
30,4124.69,1
1,77.52,681
2,519.61,38
2,1020.42,7
5,717.41,226
1,218.45,314
2,622.8199999999999,456
9,2142.72,34
8,1653.75,34
4,4642.45,20
1,440.42,77
2,1052.9,245
1,197.71,38
4,1980.4,237
27,14447.44,1
9,2338.15,2
2,2040.1,233
4,2062.67,16
1,144.0,6
4,958.78,38
8,4695.66,27
2,9864.26,210
3,1352.15,316
5,2582.66,91
3,418.09999999999997,107
15,5090.110000000001,36
1,299.02,503
2,618.27,50
4,3811.22,18
11,4534.09,8
13,2296.72,28
21,5043.92,27
6,681.26,188
1,153.12,57
1,739.1999999999999,20
2,254.18,78
4,1232.95,375
1,21.0,681
1,1579.51,59
1,415.79,403
9,3435.86,77
5,2099.54,21
1,1193.32,51
1,704.0400000000001,73
10,6835.07,56
1,315.6,276
8,5740.98,1
3,1131.1,94
1,355.53,28
1,177.31,20
10,3781.38,15
3,1339.41,13
35,24775.81,0
1,180.1,231
7,3747.84,275
2,641.13,105
4,5164.88,210
9,6620.48,22
7,4478.53,9
3,786.46,3
2,1558.22,384
2,1270.88,8
7,3481.57,56
2,804.88,519
7,5678.16,57
2,490.0,534
4,2930.41,88
1,141.0,737
13,8340.31,66
2,921.49,32
3,1312.37,237
3,1174.58,22
1,185.9,114
3,1013.26,24
12,8350.42,127
4,1918.49,128
9,3539.3,32
2,1346.97,3
35,17924.35,21
4,1112.0,153
8,2294.65,106
1,314.44,2
4,377.75,333
2,1017.03,330
3,4160.83,147
5,601.98,9
1,261.35,422
8,6407.83,16
4,1643.18,10
1,686.05,17
1,91.68,28
1,245.1,10
1,162.0,435
20,6988.02,-1
2,239.4,623
11,6070.04,7
3,313.6,323
1,1248.42,393
1,620.13,57
11,11444.68,10
3,2744.0299999999997,149
7,3760.29,9
1,2622.481,605
2,437.05,328
3,1230.02,4
4,1970.6,37
2,958.5,552
11,2843.09,23
2,395.1,554
21,34281.18,41
4,1113.02,57
4,880.81,-1
45,30868.28,13
52,24033.91,2
21,12696.78,3
7,2283.63,6
6,2863.08,27
1,178.28,370
2,2138.91,479
1,4873.8099999999995,112
2,1247.61,24
1,389.01,204
7,1170.4,27
1,110.95,636
7,1703.02,126
3,1843.35,69
7,1407.1200000000001,6
2,851.91,433
3,957.59,27
1,339.75,589
1,638.11,416
4,4939.99,6
6,2446.41,78
1,219.0,18
4,1006.53,70
8,2340.84,6
14,11762.1,14
1,603.42,290
18,5314.1,28
33,31093.34,14
3,1149.02,95
2,1339.05,610
21,7193.66,27
1,848.55,-1
12,14093.71,8
1,353.86,105
2,1053.49,2
3,1308.91,150
1,238.25,70
2,644.95,4
30,8260.67,1
8,4013.08,30
4,997.63,84
5,725.07,2
7,2317.52,4
4,2694.56,370
11,4014.6,27
10,5679.53,9
5,1070.17,70
1,453.01,112
1,829.25,520
17,25775.71,22
1,236.26000000000002,178
4,2424.87,233
3,639.65,351
2,779.5699999999999,314
1,234.0,331
2,3710.5,497
1,310.7,371
4,2726.73,77
1,427.6,62
2,406.07,528
1,1201.52,624
2,546.43,133
11,25317.06,50
3,925.41,485
1,254.55,539
26,9276.539999999999,1
338,56599.39,-1
9,6897.36,2
1,275.88,127
1,268.27,443
1,4366.78,80
6,21429.39,21
4,3010.74,234
11,9030.66,279
1,112.07999999999998,85
13,7857.1,14
7,9903.24,115
8,5020.74,51
1,347.8,454
2,782.95,456
2,1898.52,6
2,814.16,137
1,1693.88,315
6,1404.58,471
9,10068.28,2
1,949.82,374
1,168.69000000000003,449
1,1143.6,237
2,3246.45,209
1,282.3,484
1,892.47,58
1,124.25,563
1,98.7,534
7,1686.12,16
1,55.5,666
1,519.45,456
9,1775.68,18
14,6722.2699999999995,36
1,337.4,597
2,826.74,62
11,4618.24,3
6,2225.91,1
3,1804.75,8
3,1100.4,363
1,728.5,608
4,862.18,8
4,444.9,462
3,273.35,64
2,591.85,191
6,1056.1100000000001,372
2,827.01,255
3,1017.33,333
2,860.41,52
1,430.48,17
1,381.0,627
2,806.11,364
4,8510.93,9
1,219.35,528
3,584.25,469
1,1071.82,499
7,2416.42,185
1,1092.81,392
2,327.02,464
4,1434.95,380
4,2878.96,434
1,330.35,382
5,906.1,35
3,1755.94,176
2,534.99,533
5,1033.9,259
1,229.64000000000001,43
3,1687.8,500
1,125.92,100
2,1063.46,146
2,572.2,94
3,690.98,280
1,1542.08,260
1,540.52,457
11,2689.52,2
2,220.8,213
2,948.88,69
18,6501.5,73
1,397.12,58
2,518.63,520
12,2955.75,1
3,430.15000000000003,4
6,1018.71,1
3,385.3,335
6,6814.64,36
3,451.11,261
2,383.03,31
1,417.38,144
1,312.38,281
42,6043.31,426
16,6585.62,58
2,688.41,172
10,3398.48,32
26,10071.73,1
7,4041.97,142
39,7540.68,3
4,1917.99,69
30,6588.41,64
4,648.6,28
4,354.09,266
1,15.58,681
2,1636.8999999999999,21
1,208.0,674
6,3090.56,30
1,330.0,444
2,284.13,95
1,311.55,293
11,3907.5,133
7,2994.02,77
4,650.9399999999999,371
6,2179.93,6
6,3688.0,209
1,177.92,382
1,575.1,457
1,55.47,692
1,68.25,618
2,1008.3199999999999,424
6,2792.5499999999997,51
2,299.57,137
4,3323.47,25
3,1227.35,282
13,7913.29,25
8,2247.06,184
1,337.66999999999996,680
3,1676.95,374
3,744.02,83
12,3685.4900000000002,325
3,2027.3,281
2,948.42,384
5,1356.99,142
4,4081.79,56
20,2955.17,2
2,854.99,235
3,573.22,43
2,640.13,380
1,298.0,274
2,1463.04,8
4,703.47,23
1,309.05,87
3,1175.22,62
2,1378.4,66
1,222.4,382
2,354.12,213
4,385.46000000000004,380
3,717.27,23
11,840.5,184
1,263.38,395
1,188.14,29
1,157.35,574
2,372.8,41
4,514.25,203
2,310.96000000000004,462
1,366.4,412
1,340.33,421
28,17654.54,7
1,138.68,263
1,833.53,427
2,509.58,17
2,1018.42,575
4,2919.81,10
2,508.91,394
5,1776.0,175
8,3103.19,38
13,5796.52,22
1,1680.47,550
5,1662.3,1
13,6700.860000000001,3
1,223.98,399
4,1174.75,147
7,4654.0199999999995,137
6,4359.2,127
1,10953.5,625
6,1335.19,7
3,488.09000000000003,16
73,35921.04,8
1,405.38,160
3,789.87,63
12,2469.4,87
3,729.3299999999999,3
