,l2 regularization,learning-rate,max leaf nodes,min samples leaf,mean test accuracy,std_test_score,ranking
37,0.00011470158245897253,0.07527793366519046,26,10,0.8721028636946848,0.0023211818409786507,1
95,0.01412331664577004,0.09847256384989377,21,6,0.8718571701564248,0.0018315048256038768,2
179,0.41510863410411764,0.2225873017702697,24,14,0.871829870874396,0.0015337000601492344,3
19,0.3719289143242223,0.13470019493664762,21,6,0.8717752723103382,0.0019446118400937664,4
45,0.35696521741558007,0.12287537146435958,18,16,0.871584177336136,0.002691957904377395,5
142,6.468732525632171e-06,0.14099627601741246,42,6,0.8715568780541072,0.0026185831138096265,6
104,1.2506818390845613e-05,0.1342625894546642,32,13,0.8714203816439627,0.002064238811004863,7
90,0.20275148400278287,0.06620026721906203,26,11,0.8713384837978762,0.0017070491730565508,8
10,0.15268238195478906,0.21614063430349822,18,21,0.8712019873877317,0.002162797625761378,9
91,0.012256767472973764,0.0636622711027221,24,17,0.8712019873877317,0.0019902928040784877,9
102,0.0012407489724289003,0.05389241614829066,36,3,0.8709289945674429,0.001514203111539205,11
40,0.14990988688236748,0.3674679553166107,12,9,0.8707924981572984,0.0024564898679306437,12
66,8.164331210686136e-05,0.3025954226007902,11,28,0.8707651988752696,0.0028093353911133566,13
18,5.450599655007855e-05,0.09482193857603144,15,20,0.8706833010291829,0.0025947012668955955,14
129,0.257822714835256,0.05018716860679437,50,36,0.8706560017471541,0.0015630415889696042,15
121,2.296736157566591e-05,0.24314827433823716,9,22,0.8706287024651251,0.002282124391143606,16
60,0.00015548658550008695,0.16925421816373953,11,27,0.8706014031830963,0.002824415082523681,17
164,0.84424831193778,0.16253111263561784,10,4,0.8706014031830963,0.0019003681797628276,17
169,0.00231384676184364,0.1743442580985928,12,39,0.8704103082088941,0.0026443003392016546,19
195,2.6520600395485407e-05,0.260684692339581,21,13,0.8703830089268653,0.0030689650421654043,20
73,0.022306755085850494,0.04410473710026925,32,8,0.8697824247222298,0.0022715446333614418,21
197,0.022059725581100424,0.2628454518211362,6,26,0.8695913297480277,0.0029563880458158744,22
56,0.002458988724446245,0.24803342210000834,8,5,0.8695367311839699,0.0030164290504291432,23
83,1.722239325684243e-06,0.16180729706042538,11,39,0.8694275340558544,0.0024843907361067835,24
27,0.7549330410322957,0.8137820982106408,7,5,0.8691818405175944,0.002264749997467198,25
34,0.0649041826816256,0.05896093286418983,20,37,0.8690999426715077,0.002488036042380148,26
32,6.229392492630884e-05,0.43557563015062667,6,11,0.8689088476973056,0.0037911598331535176,27
59,0.06394282440891214,0.6760242742334316,5,17,0.8688542491332478,0.002414225382451467,28
94,1.68261238703142e-06,0.291945284599701,6,23,0.8687450520051323,0.002948408442997813,29
97,0.0011928047802222679,0.2892794548023865,16,7,0.8687177527231034,0.0019903098308049873,30
184,0.0014705845159255428,0.28480630135385165,21,8,0.8686631541590456,0.0022385357790823813,31
67,0.08916574092029336,0.6157162884774764,5,26,0.868581256312959,0.0031597427614274685,32
109,0.02993701859421715,0.03808362146801679,34,8,0.8684720591848435,0.00261872421597881,33
31,0.014954813597107444,0.48420981438426886,10,4,0.8684174606207856,0.0026807507322040274,34
76,0.008310787621585538,0.14231933392907337,9,10,0.8683628620567279,0.00252646457206931,35
174,8.143932023385798e-06,0.04545531941664865,22,11,0.8682536649286123,0.0020229567527607147,36
147,1.515124151144862e-06,0.32597191180659896,17,13,0.8681990663645546,0.001131844178113219,37
149,0.0006688748601472653,0.033033660582916104,53,6,0.8681990663645546,0.0024383275580277617,37
74,0.010374007757742523,0.3018646973665907,5,12,0.8680352706723813,0.003729536331387384,39
127,0.02294899612321165,0.06328479353388675,13,4,0.8678441756981792,0.0020100137962476184,40
123,0.00019048893183039304,0.5590997344119576,7,8,0.8677895771341214,0.0038269121817731426,41
186,0.022402238018842082,0.031324791408643804,51,3,0.867653080723977,0.0024376065728999655,42
